Hour,Rides,Revenue,Tip
00,6461,183096.57999999978,3.603259557344065
01,6160,164619.64000000007,3.4620064935065016
02,5724,151186.67000000013,3.4262735849056676
03,4162,110833.64000000003,3.2738370975492543
04,2374,66176.15000000011,3.0663732097725336
05,1666,58387.85000000007,3.975156062424964
06,2220,80819.82000000024,3.8135585585585585
07,3609,121684.48000000039,3.840534774175677
08,4422,135254.29000000062,3.47133649932158
09,5158,152539.21000000133,3.3993059325319797
10,6103,177706.1100000008,3.28420612813371
11,7006,191713.68000000058,3.1659991435912036
12,7708,216602.92000000138,3.287200311364807
13,6327,181359.49000000092,3.438251936146665
14,3827,118056.8200000004,3.5414476090932805
15,3970,125852.29000000053,3.56858438287154
16,4149,135526.82000000085,3.866471438900945
17,3663,113704.87000000034,3.7901092001092054
18,3481,108007.52000000028,3.720094800344733
19,3180,102771.84000000043,3.8905754716981193
20,2742,90195.38000000014,4.102162654996351
21,2315,76370.47000000013,3.9461036717062616
22,2105,80945.4200000002,4.696180522565318
23,1468,60968.46000000001,4.795204359673016
